"S.No","Product ID","Product / Dish Name","Outlet / Type","Category Name","Category Slug","Price (₹)","MRP (₹)","Discount (%)","Unit","Stock","Storefront Status","Menu Tags","Restaurant ID","Category ID"
"51","cmqhvpaww000204jx72plxjya","Paneer Sandwitch","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","80","80","0","","99999","ACTIVE (VISIBLE)","sandwiches, sandwich, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"52","cmqhvyb4x000204i8q8a2npdz","Pizza Sandwitch","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","135","135","0","","99999","ACTIVE (VISIBLE)","sandwiches, sandwich, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"53","cmqiggt09000004l86a1apssj","Red Sauce Pasta","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","115","115","0","","99999","ACTIVE (VISIBLE)","italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"54","cmqi273r1000004ic6e36qx4z","Sezwan Noodles","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","90","90","0","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"55","cmqjdjt3i000004jseqdvheia","Sezwan Rice","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","95","95","0","","99999","ACTIVE (VISIBLE)","rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"56","cmqigfcf4000004ldcqc58t9f","Sezwan Sauce Pasta","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","95","95","0","","99999","ACTIVE (VISIBLE)","italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"57","cmqi2l00e000004l1i0tlf3uw","Singapuri Noodles","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","105","105","0","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"58","cmqjdsq0u000104js445kl6jw","Singapuri Rice","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","115","115","0","","99999","ACTIVE (VISIBLE)","rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"59","cmqhw38rc000004l4wbswlwzc","Special Sandwich","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","100","100","0","","99999","ACTIVE (VISIBLE)","sandwiches, sandwich, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"60","cmqhtzt1t000004jorbi3qwp4","Spicy Veggie Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","149","159","6","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
