Product ID,Product Name,Category ID,Category Name,Category Slug,Outlet / Restaurant,Price (Rs),MRP (Rs),Discount (%),Unit,Stock,Is Available,Is Flash Deal,Is Best Seller,Tags,Image URL
"cmsszxwzw000204ju8z4ltmp7","Kiwi","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",110,120,8,"4 piece",95,YES,NO,NO,"fresh, produce","https://res.cloudinary.com/dbf3lhk94/image/upload/v1786714931/c1vzsxaemvp4gyrohxry.png"
"cmqkw3x24000004l1iaczr6wx","Lemon ( Nimboo)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",20,25,20,"",137,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554617/e4bemcuyic0lnfmzy8ex.png"
"cmqj0wlgv000004l73497qs1g","Mango(Dasehri Aam)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",59,65,9,"1 kg",46,NO,NO,NO,"fresh, fruits, vegetables","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554621/wmvhdqrgcjgjaqwbw2kp.jpg"
"cmqj0ojv4000004l2g2zys19f","Mango(Tota  Aam)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",50,55,9,"1 kg",50,NO,NO,NO,"fresh, fruits, vegetables","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554676/lpnusyr4rzxrzsrkkzoa.jpg"
"cmqj0q4vb000104l2fcfjp2lh","Musambi ","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",80,85,6,"1 kg",49,YES,NO,NO,"fresh, fruits, vegetables","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554677/wcuhlkedrcihlcyqqbjs.png"
"cmqj10vnw000204l2uf9t6q4l","Nariyal Gari","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",50,55,9,"1 Pc",49,YES,NO,NO,"fresh, fruits, vegetables","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554660/l0rttxqgyvecsozofsa5.png"
"cmqj12r6i000004k0y7i9qq01","Nariyal Pani ","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",89,99,10,"1 pc",8,YES,NO,NO,"fresh, fruits, vegetables","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554703/vv9usmx3dw5oclt94svw.png"
"cmqkvcaz4000004l1nzolysqj","Onion ( Pyaaz)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",25,30,17,"",14,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554785/egep1z5zeayml7uip6in.png"
"cmqj05ijt000004kzbm9qxmoy","Orange ","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",140,145,3,"1 kg",49,YES,NO,NO,"fresh, fruits, vegetables","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554661/xsxejckmgbehzezamur4.png"
"cmqky6ixi000004l8cyukixz8","Parwal","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",35,40,13,"",157,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554802/xgbvqpnyxhwikzk69utc.png"
"cmqj1q790000004l1l1jxjv6i","Pineapple ( Ananas)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",80,85,6,"1 pc",50,YES,NO,NO,"fresh, fruits, vegetables","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554689/f6n3kc6tly1hl3621bs1.png"
